Serial No,Date,Amount,Category,Description
46,15-01-2021,165.17,Expense,Dining Out
47,15-01-2021,123.78,Expense,Bonus
48,16-01-2021,29.18,Expense,Freelance
49,16-01-2021,418.62,Income,Movies
50,16-01-2021,38.32,Income,Entertainment
51,17-01-2021,602.16,Expense,Shopping
52,18-01-2021,455.16,Income,Car Maintenance
53,19-01-2021,746.13,Expense,Salary
54,19-01-2021,697.71,Income,Movies
55,19-01-2021,389.71,Expense,Freelance
56,20-01-2021,455.61,Income,Groceries
57,20-01-2021,635.25,Income,Utilities
58,20-01-2021,339.62,Income,Subscriptions
59,21-01-2021,517.95,Income,Freelance
60,21-01-2021,137.21,Expense,Salary
61,21-01-2021,693.88,Expense,Shopping
62,21-01-2021,38.47,Income,Freelance
63,21-01-2021,220.22,Expense,Salary
64,22-01-2021,344.83,Expense,Movies
65,23-01-2021,258.83,Income,Bonus
66,23-01-2021,721.2,Expense,Movies
67,23-01-2021,749.12,Income,Transport
68,23-01-2021,150.66,Income,Internet Bill
69,24-01-2021,990.19,Income,Salary
70,24-01-2021,728.05,Expense,Groceries
71,24-01-2021,360.19,Income,Internet Bill
72,24-01-2021,838.36,Income,Bonus
73,24-01-2021,712.23,Expense,Bonus
74,25-01-2021,589.04,Income,Rent
75,25-01-2021,69.79,Expense,Movies
76,25-01-2021,688.61,Expense,Transport
77,26-01-2021,577.61,Income,Internet Bill
78,26-01-2021,256.47,Expense,Coffee
79,27-01-2021,342.31,Expense,Movies
80,27-01-2021,487.12,Expense,Rent
81,27-01-2021,115.82,Expense,Freelance
82,27-01-2021,964.74,Expense,Rent
83,27-01-2021,700.55,Income,Internet Bill
84,28-01-2021,781.24,Income,Rent
85,28-01-2021,885.86,Expense,Shopping
86,28-01-2021,386.77,Expense,Rent
87,28-01-2021,14.5,Expense,Shopping
88,29-01-2021,904.99,Income,Rent
89,30-01-2021,433.94,Expense,Internet Bill
90,30-01-2021,833.84,Expense,Coffee
91,30-01-2021,948.86,Expense,Rent
92,30-01-2021,219.75,Expense,Utilities
93,31-01-2021,557.39,Income,Transport
94,31-01-2021,427.57,Expense,Shopping
95,31-01-2021,740.67,Expense,Coffee
96,31-01-2021,140.66,Expense,Interest
97,31-01-2021,780.79,Expense,Coffee
98,01-02-2021,836.01,Expense,Shopping
99,01-02-2021,349.8,Expense,Dining Out
100,01-02-2021,590.12,Income,Car Maintenance
101,02-02-2021,952.1,Income,Bonus
102,02-02-2021,263.52,Expense,Transport
103,02-02-2021,776.91,Income,Bonus
104,02-02-2021,478.29,Income,Utilities
105,03-02-2021,576.36,Expense,Dining Out
106,04-02-2021,377.89,Expense,Car Maintenance
107,04-02-2021,451.35,Income,Car Maintenance
108,04-02-2021,375.5,Expense,Movies
109,05-02-2021,926.46,Income,Movies
110,05-02-2021,322.55,Expense,Rent
111,05-02-2021,445.75,Expense,Entertainment
112,06-02-2021,505.67,Income,Salary
113,06-02-2021,71.9,Income,Freelance
114,06-02-2021,827.43,Expense,Internet Bill
115,06-02-2021,22.04,Expense,Utilities
116,06-02-2021,988.51,Income,Coffee
117,07-02-2021,553.02,Expense,Groceries
118,07-02-2021,216.18,Income,Coffee
119,07-02-2021,716.52,Expense,Transport
120,07-02-2021,734.0,Income,Bonus
121,08-02-2021,570.74,Income,Subscriptions
122,08-02-2021,737.83,Expense,Utilities
123,08-02-2021,168.42,Income,Freelance
124,09-02-2021,954.91,Income,Shopping
125,09-02-2021,550.83,Income,Interest
126,09-02-2021,494.44,Expense,Freelance
127,09-02-2021,366.09,Income,Coffee
128,10-02-2021,137.53,Expense,Movies
129,10-02-2021,257.41,Expense,Groceries
130,11-02-2021,109.13,Expense,Groceries
131,11-02-2021,540.34,Expense,Coffee
132,11-02-2021,732.09,Income,Entertainment
133,11-02-2021,245.47,Expense,Coffee
134,12-02-2021,742.8,Expense,Shopping
135,12-02-2021,606.05,Income,Rent
136,12-02-2021,18.99,Expense,Freelance
137,12-02-2021,703.03,Income,Interest
138,12-02-2021,814.24,Income,Salary
139,13-02-2021,671.76,Expense,Internet Bill
140,13-02-2021,862.1,Income,Shopping
141,14-02-2021,461.44,Expense,Interest
142,14-02-2021,653.62,Income,Groceries
143,14-02-2021,831.41,Income,Shopping
144,15-02-2021,234.52,Income,Car Maintenance
145,15-02-2021,790.55,Expense,Interest
146,15-02-2021,871.2,Income,Rent
147,16-02-2021,706.77,Expense,Subscriptions
148,16-02-2021,752.64,Income,Internet Bill
149,17-02-2021,409.14,Income,Interest
150,18-02-2021,228.88,Expense,Interest
151,18-02-2021,797.78,Income,Movies
152,18-02-2021,478.31,Expense,Entertainment
153,19-02-2021,838.07,Expense,Interest
154,19-02-2021,88.4,Income,Bonus
155,20-02-2021,883.05,Income,Rent
156,20-02-2021,183.28,Income,Internet Bill
157,21-02-2021,866.61,Income,Car Maintenance
158,21-02-2021,727.09,Income,Movies
159,22-02-2021,151.51,Expense,Dining Out
160,22-02-2021,805.23,Expense,Coffee
161,22-02-2021,145.17,Income,Freelance
162,22-02-2021,952.96,Expense,Salary
163,23-02-2021,265.09,Income,Entertainment
164,23-02-2021,635.29,Expense,Groceries
165,24-02-2021,208.09,Income,Coffee
166,24-02-2021,562.89,Income,Freelance
167,24-02-2021,335.55,Income,Dining Out
168,24-02-2021,909.8,Income,Coffee
169,24-02-2021,515.16,Expense,Rent
170,25-02-2021,236.8,Expense,Groceries
171,25-02-2021,268.76,Expense,Entertainment
172,25-02-2021,500.92,Expense,Car Maintenance
173,25-02-2021,484.49,Income,Subscriptions
174,26-02-2021,353.16,Income,Coffee
175,27-02-2021,940.91,Income,Bonus
176,27-02-2021,731.87,Income,Freelance
177,27-02-2021,749.07,Income,Entertainment
178,27-02-2021,714.87,Income,Bonus
179,28-02-2021,704.22,Expense,Subscriptions
180,28-02-2021,951.93,Income,Movies
181,01-03-2021,621.65,Expense,Interest
182,01-03-2021,493.02,Income,Transport
183,01-03-2021,37.39,Income,Salary
184,01-03-2021,965.57,Income,Movies
185,01-03-2021,318.26,Expense,Groceries
186,02-03-2021,196.22,Income,Internet Bill
187,02-03-2021,42.96,Expense,Rent
188,02-03-2021,363.49,Expense,Salary
189,02-03-2021,472.0,Expense,Utilities
190,03-03-2021,93.26,Income,Transport
191,03-03-2021,269.62,Income,Car Maintenance
192,03-03-2021,215.72,Income,Shopping
193,04-03-2021,421.87,Expense,Transport
194,04-03-2021,932.12,Expense,Dining Out
195,04-03-2021,280.04,Income,Car Maintenance
196,04-03-2021,946.65,Expense,Utilities
197,05-03-2021,543.07,Income,Entertainment
198,05-03-2021,104.81,Income,Coffee
199,05-03-2021,858.26,Expense,Shopping
200,05-03-2021,939.78,Income,Internet Bill
201,06-03-2021,132.94,Income,Internet Bill
202,06-03-2021,31.06,Expense,Salary
203,06-03-2021,307.79,Expense,Transport
204,07-03-2021,447.76,Income,Bonus
205,07-03-2021,563.66,Expense,Bonus
206,07-03-2021,639.6,Expense,Rent
207,07-03-2021,280.42,Expense,Dining Out
208,07-03-2021,870.41,Expense,Salary
209,08-03-2021,848.11,Expense,Rent
210,08-03-2021,22.38,Expense,Rent
211,09-03-2021,834.16,Income,Entertainment
212,10-03-2021,913.66,Expense,Groceries
213,10-03-2021,615.41,Income,Subscriptions
214,10-03-2021,491.97,Expense,Car Maintenance
215,10-03-2021,640.58,Income,Groceries
216,10-03-2021,390.44,Income,Internet Bill
217,11-03-2021,248.54,Expense,Entertainment
218,11-03-2021,352.56,Expense,Interest
219,11-03-2021,902.21,Income,Salary
220,12-03-2021,503.46,Expense,Subscriptions
221,12-03-2021,164.12,Income,Car Maintenance
222,13-03-2021,887.46,Income,Freelance
223,13-03-2021,65.02,Income,Transport
224,13-03-2021,775.19,Expense,Transport
225,13-03-2021,969.71,Expense,Salary
226,13-03-2021,397.99,Expense,Coffee
227,14-03-2021,99.4,Income,Interest
228,14-03-2021,996.67,Income,Salary
229,15-03-2021,716.19,Expense,Subscriptions
230,16-03-2021,799.04,Income,Interest
231,17-03-2021,244.19,Expense,Groceries
232,17-03-2021,85.05,Income,Shopping
233,17-03-2021,820.08,Expense,Transport
234,18-03-2021,128.31,Expense,Bonus
235,19-03-2021,222.37,Income,Internet Bill
236,19-03-2021,970.46,Income,Transport
237,20-03-2021,504.13,Income,Utilities
238,21-03-2021,393.53,Expense,Shopping
239,21-03-2021,781.52,Income,Subscriptions
240,21-03-2021,178.82,Income,Movies
241,22-03-2021,841.87,Income,Interest
242,22-03-2021,408.88,Expense,Dining Out
243,23-03-2021,989.03,Income,Car Maintenance
244,23-03-2021,767.05,Income,Interest
245,23-03-2021,469.42,Expense,Subscriptions
246,23-03-2021,406.51,Income,Salary
247,24-03-2021,245.71,Expense,Bonus
248,24-03-2021,142.82,Expense,Interest
249,25-03-2021,425.78,Expense,Transport
250,25-03-2021,899.97,Income,Transport
251,25-03-2021,646.01,Income,Transport
252,25-03-2021,880.75,Income,Shopping
253,25-03-2021,325.48,Expense,Interest
254,26-03-2021,184.64,Expense,Rent
255,26-03-2021,992.35,Expense,Salary
256,26-03-2021,215.54,Expense,Bonus
257,27-03-2021,118.51,Expense,Movies
258,28-03-2021,337.03,Expense,Rent
259,28-03-2021,808.6,Expense,Rent
260,28-03-2021,458.03,Expense,Internet Bill
261,28-03-2021,649.31,Expense,Transport
262,28-03-2021,586.09,Expense,Utilities
263,29-03-2021,191.08,Income,Salary
264,29-03-2021,313.76,Expense,Bonus
265,29-03-2021,686.68,Expense,Rent
266,30-03-2021,382.13,Expense,Salary
267,31-03-2021,335.05,Income,Salary
268,31-03-2021,71.64,Expense,Internet Bill
269,31-03-2021,925.02,Expense,Coffee
270,31-03-2021,420.35,Income,Groceries
271,01-04-2021,896.12,Income,Groceries
272,02-04-2021,996.88,Expense,Movies
273,02-04-2021,305.76,Expense,Subscriptions
274,02-04-2021,865.2,Expense,Entertainment
275,02-04-2021,153.39,Expense,Subscriptions
276,02-04-2021,812.79,Income,Shopping
277,03-04-2021,861.1,Income,Freelance
278,03-04-2021,226.03,Expense,Movies
279,03-04-2021,265.42,Income,Coffee
280,04-04-2021,619.52,Expense,Dining Out
281,05-04-2021,616.6,Income,Subscriptions
282,06-04-2021,42.94,Income,Shopping
283,06-04-2021,842.68,Income,Bonus
284,06-04-2021,687.12,Expense,Groceries
285,07-04-2021,40.74,Expense,Groceries
286,07-04-2021,51.17,Income,Utilities
287,07-04-2021,398.51,Income,Shopping
288,07-04-2021,394.9,Expense,Freelance
289,08-04-2021,116.23,Expense,Transport
290,08-04-2021,543.48,Expense,Groceries
291,08-04-2021,406.34,Income,Coffee
292,08-04-2021,381.64,Income,Car Maintenance
293,09-04-2021,325.8,Income,Utilities
294,10-04-2021,563.73,Income,Interest
295,10-04-2021,694.25,Income,Freelance
296,11-04-2021,375.71,Income,Movies
297,11-04-2021,266.52,Income,Bonus
298,11-04-2021,117.43,Income,Movies
299,11-04-2021,38.05,Expense,Entertainment
300,12-04-2021,622.77,Expense,Freelance
301,12-04-2021,548.41,Income,Rent
302,13-04-2021,203.23,Expense,Subscriptions
303,13-04-2021,589.98,Income,Groceries
304,13-04-2021,372.23,Income,Entertainment
305,13-04-2021,993.74,Expense,Utilities
306,14-04-2021,52.9,Income,Groceries
307,14-04-2021,402.33,Income,Movies
308,14-04-2021,577.0,Income,Subscriptions
309,14-04-2021,545.73,Expense,Rent
310,15-04-2021,168.57,Income,Groceries
311,15-04-2021,485.87,Expense,Utilities
312,16-04-2021,898.67,Income,Coffee
313,16-04-2021,826.66,Income,Bonus
314,16-04-2021,275.77,Expense,Interest
315,17-04-2021,874.35,Income,Entertainment
316,17-04-2021,157.8,Expense,Rent
317,18-04-2021,329.78,Income,Transport
318,18-04-2021,930.27,Income,Rent
319,18-04-2021,748.63,Income,Freelance
320,18-04-2021,600.57,Expense,Shopping
321,19-04-2021,897.53,Income,Utilities
322,19-04-2021,280.16,Expense,Interest
323,20-04-2021,342.63,Income,Movies
324,21-04-2021,768.05,Expense,Bonus
325,21-04-2021,157.88,Expense,Car Maintenance
326,21-04-2021,602.7,Income,Utilities
327,21-04-2021,493.26,Income,Utilities
328,22-04-2021,594.93,Income,Shopping
329,22-04-2021,646.75,Expense,Entertainment
330,22-04-2021,622.72,Income,Rent
331,23-04-2021,861.47,Income,Interest
332,23-04-2021,392.54,Income,Interest
333,23-04-2021,949.62,Expense,Rent
334,23-04-2021,936.73,Expense,Coffee
335,23-04-2021,269.07,Income,Coffee
336,24-04-2021,540.01,Income,Internet Bill
337,24-04-2021,966.97,Expense,Coffee
338,25-04-2021,144.13,Expense,Internet Bill
339,26-04-2021,773.33,Income,Bonus
340,26-04-2021,47.24,Expense,Shopping
341,27-04-2021,93.18,Income,Internet Bill
342,27-04-2021,178.2,Income,Groceries
343,27-04-2021,138.28,Expense,Transport
344,27-04-2021,930.8,Expense,Subscriptions
345,28-04-2021,894.87,Expense,Bonus
346,28-04-2021,46.59,Income,Car Maintenance
347,29-04-2021,810.47,Expense,Car Maintenance
348,29-04-2021,81.28,Income,Entertainment
349,30-04-2021,288.36,Income,Shopping
350,30-04-2021,255.44,Expense,Rent
351,30-04-2021,692.3,Expense,Coffee
352,30-04-2021,586.5,Expense,Salary
353,30-04-2021,470.14,Expense,Salary
354,01-05-2021,827.24,Income,Rent
355,01-05-2021,10.48,Expense,Car Maintenance
356,01-05-2021,458.67,Expense,Movies
357,01-05-2021,813.16,Income,Coffee
358,02-05-2021,600.8,Expense,Dining Out
359,02-05-2021,437.54,Expense,Internet Bill
360,02-05-2021,701.42,Income,Dining Out
361,03-05-2021,551.03,Expense,Car Maintenance
362,03-05-2021,454.02,Income,Dining Out
363,04-05-2021,874.57,Income,Rent
364,04-05-2021,63.78,Expense,Internet Bill
365,05-05-2021,641.02,Income,Dining Out
366,05-05-2021,409.97,Income,Groceries
367,06-05-2021,970.1,Expense,Dining Out
368,06-05-2021,328.48,Expense,Coffee
369,06-05-2021,256.2,Expense,Transport
370,06-05-2021,431.44,Income,Shopping
371,06-05-2021,879.67,Income,Rent
372,07-05-2021,930.71,Income,Transport
373,07-05-2021,488.22,Expense,Car Maintenance
374,08-05-2021,582.88,Expense,Shopping
375,08-05-2021,912.66,Expense,Entertainment
376,08-05-2021,788.86,Expense,Coffee
377,08-05-2021,165.41,Income,Bonus
378,09-05-2021,966.68,Expense,Entertainment
379,10-05-2021,130.46,Expense,Movies
380,10-05-2021,774.48,Expense,Car Maintenance
381,10-05-2021,517.63,Expense,Utilities
382,10-05-2021,658.33,Expense,Transport
383,10-05-2021,744.9,Income,Utilities
384,11-05-2021,694.97,Expense,Entertainment
385,11-05-2021,223.76,Expense,Subscriptions
386,11-05-2021,948.21,Expense,Bonus
387,11-05-2021,913.23,Income,Internet Bill
388,11-05-2021,224.04,Expense,Entertainment
389,12-05-2021,554.53,Expense,Movies
390,12-05-2021,657.27,Expense,Interest
391,12-05-2021,777.24,Income,Internet Bill
392,12-05-2021,391.31,Income,Transport
393,12-05-2021,633.56,Expense,Rent
394,13-05-2021,668.28,Income,Rent
395,13-05-2021,275.99,Expense,Groceries
396,14-05-2021,613.35,Income,Internet Bill
397,15-05-2021,85.68,Income,Dining Out
398,15-05-2021,783.99,Expense,Utilities
399,15-05-2021,604.26,Income,Dining Out
400,16-05-2021,297.17,Expense,Transport
401,17-05-2021,897.93,Expense,Movies
402,17-05-2021,760.81,Expense,Interest
403,17-05-2021,261.07,Income,Interest
404,18-05-2021,161.11,Expense,Salary
405,18-05-2021,266.37,Income,Bonus
406,18-05-2021,608.52,Expense,Salary
407,18-05-2021,802.15,Income,Car Maintenance
408,19-05-2021,897.99,Income,Transport
409,19-05-2021,467.3,Income,Shopping
410,20-05-2021,708.02,Expense,Transport
411,21-05-2021,840.18,Expense,Bonus
412,21-05-2021,208.1,Income,Car Maintenance
413,21-05-2021,724.82,Income,Bonus
414,21-05-2021,621.97,Income,Utilities
415,21-05-2021,554.53,Income,Transport
416,22-05-2021,787.84,Expense,Movies
417,22-05-2021,358.43,Income,Subscriptions
418,22-05-2021,711.25,Income,Salary
419,22-05-2021,638.31,Income,Salary
420,23-05-2021,231.99,Expense,Entertainment
421,23-05-2021,750.67,Income,Bonus
422,23-05-2021,717.2,Expense,Coffee
423,23-05-2021,188.85,Expense,Transport
424,24-05-2021,587.42,Income,Freelance
425,24-05-2021,436.71,Expense,Interest
426,24-05-2021,67.48,Expense,Car Maintenance
427,24-05-2021,378.44,Income,Utilities
428,24-05-2021,925.13,Expense,Interest
429,25-05-2021,330.85,Expense,Rent
430,25-05-2021,447.53,Expense,Car Maintenance
431,26-05-2021,246.01,Expense,Subscriptions
432,26-05-2021,921.33,Expense,Groceries
433,26-05-2021,859.13,Expense,Bonus
434,26-05-2021,997.47,Income,Shopping
435,26-05-2021,838.16,Expense,Salary
436,27-05-2021,267.14,Expense,Dining Out
437,27-05-2021,163.39,Income,Shopping
438,27-05-2021,389.32,Expense,Movies
439,27-05-2021,223.51,Income,Subscriptions
440,27-05-2021,407.33,Income,Interest
441,28-05-2021,364.98,Expense,Groceries
442,28-05-2021,119.22,Expense,Groceries
443,28-05-2021,395.8,Expense,Bonus
444,28-05-2021,830.65,Expense,Interest
445,29-05-2021,961.5,Income,Interest
446,29-05-2021,833.39,Income,Movies
447,29-05-2021,10.11,Income,Shopping
448,29-05-2021,794.07,Income,Dining Out
449,29-05-2021,819.09,Income,Shopping
450,30-05-2021,665.03,Expense,Utilities
451,30-05-2021,43.26,Income,Groceries
452,31-05-2021,266.96,Income,Interest
453,31-05-2021,461.03,Income,Interest
454,31-05-2021,468.18,Expense,Utilities
455,31-05-2021,660.23,Income,Transport
456,31-05-2021,333.13,Income,Transport
457,01-06-2021,759.76,Expense,Movies
458,01-06-2021,298.71,Income,Interest
459,01-06-2021,541.83,Income,Entertainment
460,01-06-2021,633.49,Income,Coffee
461,02-06-2021,789.77,Expense,Car Maintenance
462,03-06-2021,794.93,Expense,Rent
463,03-06-2021,119.88,Expense,Movies
464,03-06-2021,742.95,Income,Groceries
465,03-06-2021,231.24,Expense,Entertainment
466,04-06-2021,29.39,Income,Internet Bill
467,04-06-2021,68.32,Expense,Utilities
468,04-06-2021,950.5,Income,Movies
469,04-06-2021,96.79,Income,Dining Out
470,05-06-2021,455.14,Income,Car Maintenance
471,06-06-2021,671.78,Income,Rent
472,06-06-2021,919.66,Expense,Entertainment
473,06-06-2021,98.72,Expense,Rent
474,06-06-2021,509.29,Income,Internet Bill
475,06-06-2021,463.04,Income,Internet Bill
476,07-06-2021,552.72,Income,Interest
477,07-06-2021,179.56,Expense,Subscriptions
478,08-06-2021,669.3,Income,Utilities
479,08-06-2021,882.06,Expense,Shopping
480,08-06-2021,554.44,Income,Entertainment
481,09-06-2021,932.81,Expense,Salary
482,09-06-2021,640.98,Income,Internet Bill
483,10-06-2021,375.52,Income,Movies
484,10-06-2021,114.23,Income,Groceries
485,11-06-2021,24.39,Expense,Subscriptions
486,11-06-2021,409.64,Income,Salary
487,12-06-2021,789.79,Income,Internet Bill
488,12-06-2021,124.35,Income,Coffee
489,12-06-2021,695.48,Income,Coffee
490,12-06-2021,538.35,Expense,Entertainment
491,13-06-2021,764.65,Expense,Interest
492,13-06-2021,655.48,Expense,Car Maintenance
493,13-06-2021,271.62,Income,Subscriptions
494,13-06-2021,225.04,Income,Shopping
495,14-06-2021,616.25,Income,Internet Bill
496,14-06-2021,517.54,Income,Shopping
497,15-06-2021,785.6,Income,Car Maintenance
498,16-06-2021,673.58,Expense,Groceries
499,16-06-2021,888.16,Expense,Car Maintenance
500,16-06-2021,93.62,Expense,Subscriptions
501,17-06-2021,931.44,Income,Entertainment
502,18-06-2021,647.01,Income,Transport
503,18-06-2021,811.58,Income,Utilities
504,18-06-2021,63.08,Income,Dining Out
505,18-06-2021,116.56,Expense,Entertainment
506,18-06-2021,349.56,Income,Rent
507,19-06-2021,887.91,Income,Internet Bill
508,20-06-2021,942.15,Income,Transport
509,21-06-2021,809.44,Expense,Entertainment
510,21-06-2021,990.61,Expense,Car Maintenance
511,21-06-2021,143.61,Income,Rent
512,22-06-2021,439.83,Income,Groceries
513,22-06-2021,26.11,Expense,Subscriptions
514,22-06-2021,597.11,Expense,Freelance
515,23-06-2021,987.07,Income,Movies
516,23-06-2021,952.9,Expense,Subscriptions
517,23-06-2021,58.12,Expense,Bonus
518,24-06-2021,469.55,Expense,Movies
519,24-06-2021,831.52,Income,Groceries
520,25-06-2021,672.1,Income,Rent
521,25-06-2021,840.36,Expense,Coffee
522,26-06-2021,15.86,Expense,Transport
523,26-06-2021,981.85,Income,Subscriptions
524,26-06-2021,145.67,Income,Shopping
525,26-06-2021,504.57,Income,Groceries
526,27-06-2021,520.45,Expense,Internet Bill
527,28-06-2021,475.4,Expense,Bonus
528,28-06-2021,760.62,Income,Utilities
529,28-06-2021,680.95,Income,Groceries
530,28-06-2021,796.56,Expense,Car Maintenance
531,29-06-2021,504.75,Expense,Interest
532,29-06-2021,470.89,Income,Entertainment
533,30-06-2021,319.47,Income,Interest
534,30-06-2021,155.74,Income,Transport
535,30-06-2021,956.0,Expense,Transport
536,30-06-2021,817.11,Income,Internet Bill
537,01-07-2021,131.87,Income,Salary
538,02-07-2021,808.22,Expense,Salary
539,02-07-2021,48.76,Income,Coffee
540,02-07-2021,695.79,Expense,Interest
541,03-07-2021,665.64,Income,Bonus
542,03-07-2021,82.1,Income,Freelance
543,03-07-2021,669.14,Income,Freelance
544,04-07-2021,503.86,Expense,Utilities
545,05-07-2021,328.76,Income,Transport
546,05-07-2021,187.62,Income,Transport
547,05-07-2021,760.99,Expense,Bonus
548,06-07-2021,433.76,Expense,Bonus
549,06-07-2021,367.91,Income,Entertainment
550,07-07-2021,564.63,Expense,Subscriptions
551,07-07-2021,409.79,Expense,Entertainment
552,08-07-2021,169.18,Expense,Transport
553,08-07-2021,856.83,Expense,Interest
554,08-07-2021,584.26,Expense,Movies
555,09-07-2021,411.64,Income,Subscriptions
556,09-07-2021,99.08,Expense,Entertainment
557,09-07-2021,229.2,Income,Car Maintenance
558,09-07-2021,376.06,Expense,Bonus
559,10-07-2021,951.36,Income,Salary
560,10-07-2021,18.8,Income,Rent
561,10-07-2021,395.32,Income,Groceries
562,11-07-2021,684.54,Expense,Dining Out
563,11-07-2021,294.48,Expense,Freelance
564,11-07-2021,250.67,Income,Interest
565,12-07-2021,973.03,Expense,Salary
566,12-07-2021,187.05,Income,Dining Out
567,13-07-2021,434.41,Expense,Dining Out
568,13-07-2021,592.1,Expense,Salary
569,13-07-2021,139.54,Expense,Internet Bill
570,14-07-2021,846.19,Expense,Shopping
571,14-07-2021,615.66,Expense,Groceries
572,14-07-2021,318.09,Income,Coffee
573,14-07-2021,225.68,Expense,Car Maintenance
574,15-07-2021,317.05,Income,Subscriptions
575,15-07-2021,108.64,Income,Dining Out
576,15-07-2021,211.45,Income,Utilities
577,16-07-2021,328.4,Income,Groceries
578,16-07-2021,504.0,Income,Car Maintenance
579,17-07-2021,220.2,Income,Rent
580,17-07-2021,139.2,Income,Interest
581,18-07-2021,883.4,Expense,Movies
582,19-07-2021,598.44,Expense,Car Maintenance
583,20-07-2021,738.48,Expense,Subscriptions
584,20-07-2021,717.53,Expense,Transport
585,20-07-2021,848.41,Income,Freelance
586,20-07-2021,53.86,Expense,Coffee
587,20-07-2021,330.89,Income,Shopping
588,21-07-2021,846.87,Income,Groceries
589,21-07-2021,890.81,Income,Car Maintenance
590,21-07-2021,329.16,Expense,Bonus
591,21-07-2021,478.26,Income,Car Maintenance
592,22-07-2021,95.74,Income,Groceries
593,22-07-2021,637.72,Expense,Entertainment
594,22-07-2021,256.11,Income,Car Maintenance
595,22-07-2021,585.48,Income,Rent
596,23-07-2021,878.17,Expense,Freelance
597,23-07-2021,206.86,Income,Dining Out
598,23-07-2021,398.0,Expense,Coffee
599,23-07-2021,595.36,Income,Car Maintenance
600,24-07-2021,464.11,Expense,Car Maintenance
601,24-07-2021,909.06,Expense,Movies
602,24-07-2021,365.69,Income,Dining Out
603,24-07-2021,328.33,Expense,Movies
604,25-07-2021,214.86,Expense,Dining Out
605,25-07-2021,768.65,Expense,Car Maintenance
606,25-07-2021,68.22,Expense,Coffee
607,26-07-2021,547.71,Expense,Movies
608,26-07-2021,700.95,Expense,Transport
609,26-07-2021,458.38,Expense,Shopping
610,26-07-2021,360.02,Income,Internet Bill
611,27-07-2021,918.48,Income,Coffee
612,27-07-2021,766.95,Expense,Entertainment
613,28-07-2021,185.73,Expense,Dining Out
614,28-07-2021,643.96,Income,Freelance
615,29-07-2021,282.73,Income,Shopping
616,29-07-2021,840.09,Income,Rent
617,29-07-2021,104.5,Income,Car Maintenance
618,29-07-2021,703.6,Income,Rent
619,30-07-2021,278.98,Income,Transport
620,30-07-2021,14.69,Expense,Salary
621,30-07-2021,116.18,Expense,Interest
622,30-07-2021,622.96,Expense,Groceries
623,31-07-2021,774.72,Expense,Subscriptions
624,31-07-2021,715.49,Expense,Freelance
625,31-07-2021,198.05,Expense,Salary
626,01-08-2021,938.89,Income,Rent
627,01-08-2021,149.14,Expense,Subscriptions
628,01-08-2021,750.31,Expense,Coffee
629,01-08-2021,163.58,Income,Rent
630,02-08-2021,994.36,Income,Groceries
631,02-08-2021,93.2,Income,Groceries
632,02-08-2021,39.29,Income,Movies
633,02-08-2021,746.81,Expense,Bonus
634,02-08-2021,642.58,Expense,Subscriptions
635,03-08-2021,848.72,Expense,Car Maintenance
636,03-08-2021,983.06,Expense,Rent
637,03-08-2021,227.43,Income,Car Maintenance
638,03-08-2021,556.24,Income,Dining Out
639,04-08-2021,549.99,Income,Groceries
640,04-08-2021,515.13,Income,Rent
641,04-08-2021,258.87,Expense,Dining Out
642,05-08-2021,566.12,Expense,Subscriptions
