Serial No,Date,Amount,Category,Description
218,10-03-2021,491.97,Expense,Car Maintenance
219,10-03-2021,640.58,Income,Groceries
220,10-03-2021,390.44,Income,Internet Bill
221,11-03-2021,248.54,Expense,Entertainment
222,11-03-2021,352.56,Expense,Interest
223,11-03-2021,902.21,Income,Salary
224,12-03-2021,503.46,Expense,Subscriptions
225,12-03-2021,164.12,Income,Car Maintenance
226,13-03-2021,887.46,Income,Freelance
227,13-03-2021,65.02,Income,Transport
228,13-03-2021,775.19,Expense,Transport
229,13-03-2021,969.71,Expense,Salary
230,13-03-2021,397.99,Expense,Coffee
231,14-03-2021,99.4,Income,Interest
232,14-03-2021,996.67,Income,Salary
233,15-03-2021,716.19,Expense,Subscriptions
234,16-03-2021,799.04,Income,Interest
235,17-03-2021,244.19,Expense,Groceries
236,17-03-2021,85.05,Income,Shopping
237,17-03-2021,820.08,Expense,Transport
238,18-03-2021,128.31,Expense,Bonus
239,19-03-2021,222.37,Income,Internet Bill
240,19-03-2021,970.46,Income,Transport
241,20-03-2021,504.13,Income,Utilities
242,21-03-2021,393.53,Expense,Shopping
243,21-03-2021,781.52,Income,Subscriptions
244,21-03-2021,178.82,Income,Movies
245,22-03-2021,841.87,Income,Interest
246,22-03-2021,408.88,Expense,Dining Out
247,23-03-2021,989.03,Income,Car Maintenance
248,23-03-2021,767.05,Income,Interest
249,23-03-2021,469.42,Expense,Subscriptions
250,23-03-2021,406.51,Income,Salary
251,24-03-2021,245.71,Expense,Bonus
252,24-03-2021,142.82,Expense,Interest
253,25-03-2021,425.78,Expense,Transport
254,25-03-2021,899.97,Income,Transport
255,25-03-2021,646.01,Income,Transport
256,25-03-2021,880.75,Income,Shopping
257,25-03-2021,325.48,Expense,Interest
258,26-03-2021,184.64,Expense,Rent
259,26-03-2021,992.35,Expense,Salary
260,26-03-2021,215.54,Expense,Bonus
261,27-03-2021,118.51,Expense,Movies
262,28-03-2021,337.03,Expense,Rent
263,28-03-2021,808.6,Expense,Rent
264,28-03-2021,458.03,Expense,Internet Bill
265,28-03-2021,649.31,Expense,Transport
266,28-03-2021,586.09,Expense,Utilities
267,29-03-2021,191.08,Income,Salary
268,29-03-2021,313.76,Expense,Bonus
269,29-03-2021,686.68,Expense,Rent
270,30-03-2021,382.13,Expense,Salary
271,31-03-2021,335.05,Income,Salary
272,31-03-2021,71.64,Expense,Internet Bill
273,31-03-2021,925.02,Expense,Coffee
274,31-03-2021,420.35,Income,Groceries
275,01-04-2021,896.12,Income,Groceries
276,02-04-2021,996.88,Expense,Movies
277,02-04-2021,305.76,Expense,Subscriptions
278,02-04-2021,865.2,Expense,Entertainment
279,02-04-2021,153.39,Expense,Subscriptions
280,02-04-2021,812.79,Income,Shopping
281,03-04-2021,861.1,Income,Freelance
282,03-04-2021,226.03,Expense,Movies
283,03-04-2021,265.42,Income,Coffee
284,04-04-2021,619.52,Expense,Dining Out
285,05-04-2021,616.6,Income,Subscriptions
286,06-04-2021,42.94,Income,Shopping
287,06-04-2021,842.68,Income,Bonus
288,06-04-2021,687.12,Expense,Groceries
289,07-04-2021,40.74,Expense,Groceries
290,07-04-2021,51.17,Income,Utilities
291,07-04-2021,398.51,Income,Shopping
292,07-04-2021,394.9,Expense,Freelance
293,08-04-2021,116.23,Expense,Transport
294,08-04-2021,543.48,Expense,Groceries
295,08-04-2021,406.34,Income,Coffee
296,08-04-2021,381.64,Income,Car Maintenance
297,09-04-2021,325.8,Income,Utilities
298,10-04-2021,563.73,Income,Interest
299,10-04-2021,694.25,Income,Freelance
300,11-04-2021,375.71,Income,Movies
301,11-04-2021,266.52,Income,Bonus
302,11-04-2021,117.43,Income,Movies
303,11-04-2021,38.05,Expense,Entertainment
304,12-04-2021,622.77,Expense,Freelance
305,12-04-2021,548.41,Income,Rent
306,13-04-2021,203.23,Expense,Subscriptions
307,13-04-2021,589.98,Income,Groceries
308,13-04-2021,372.23,Income,Entertainment
309,13-04-2021,993.74,Expense,Utilities
310,14-04-2021,52.9,Income,Groceries
311,14-04-2021,402.33,Income,Movies
312,14-04-2021,577.0,Income,Subscriptions
313,14-04-2021,545.73,Expense,Rent
314,15-04-2021,168.57,Income,Groceries
315,15-04-2021,485.87,Expense,Utilities
316,16-04-2021,898.67,Income,Coffee
317,16-04-2021,826.66,Income,Bonus
318,16-04-2021,275.77,Expense,Interest
319,17-04-2021,874.35,Income,Entertainment
320,17-04-2021,157.8,Expense,Rent
321,18-04-2021,329.78,Income,Transport
322,18-04-2021,930.27,Income,Rent
323,18-04-2021,748.63,Income,Freelance
324,18-04-2021,600.57,Expense,Shopping
325,19-04-2021,897.53,Income,Utilities
326,19-04-2021,280.16,Expense,Interest
327,20-04-2021,342.63,Income,Movies
328,21-04-2021,768.05,Expense,Bonus
329,21-04-2021,157.88,Expense,Car Maintenance
330,21-04-2021,602.7,Income,Utilities
331,21-04-2021,493.26,Income,Utilities
332,22-04-2021,594.93,Income,Shopping
333,22-04-2021,646.75,Expense,Entertainment
334,22-04-2021,622.72,Income,Rent
335,23-04-2021,861.47,Income,Interest
336,23-04-2021,392.54,Income,Interest
337,23-04-2021,949.62,Expense,Rent
338,23-04-2021,936.73,Expense,Coffee
339,23-04-2021,269.07,Income,Coffee
340,24-04-2021,540.01,Income,Internet Bill
341,24-04-2021,966.97,Expense,Coffee
342,25-04-2021,144.13,Expense,Internet Bill
343,26-04-2021,773.33,Income,Bonus
344,26-04-2021,47.24,Expense,Shopping
345,27-04-2021,93.18,Income,Internet Bill
346,27-04-2021,178.2,Income,Groceries
347,27-04-2021,138.28,Expense,Transport
348,27-04-2021,930.8,Expense,Subscriptions
349,28-04-2021,894.87,Expense,Bonus
350,28-04-2021,46.59,Income,Car Maintenance
351,29-04-2021,810.47,Expense,Car Maintenance
352,29-04-2021,81.28,Income,Entertainment
353,30-04-2021,288.36,Income,Shopping
354,30-04-2021,255.44,Expense,Rent
355,30-04-2021,692.3,Expense,Coffee
356,30-04-2021,586.5,Expense,Salary
357,30-04-2021,470.14,Expense,Salary
358,01-05-2021,827.24,Income,Rent
359,01-05-2021,10.48,Expense,Car Maintenance
360,01-05-2021,458.67,Expense,Movies
361,01-05-2021,813.16,Income,Coffee
362,02-05-2021,600.8,Expense,Dining Out
363,02-05-2021,437.54,Expense,Internet Bill
364,02-05-2021,701.42,Income,Dining Out
365,03-05-2021,551.03,Expense,Car Maintenance
366,03-05-2021,454.02,Income,Dining Out
367,04-05-2021,874.57,Income,Rent
368,04-05-2021,63.78,Expense,Internet Bill
369,05-05-2021,641.02,Income,Dining Out
370,05-05-2021,409.97,Income,Groceries
371,06-05-2021,970.1,Expense,Dining Out
372,06-05-2021,328.48,Expense,Coffee
373,06-05-2021,256.2,Expense,Transport
374,06-05-2021,431.44,Income,Shopping
375,06-05-2021,879.67,Income,Rent
376,07-05-2021,930.71,Income,Transport
377,07-05-2021,488.22,Expense,Car Maintenance
378,08-05-2021,582.88,Expense,Shopping
379,08-05-2021,912.66,Expense,Entertainment
380,08-05-2021,788.86,Expense,Coffee
381,08-05-2021,165.41,Income,Bonus
382,09-05-2021,966.68,Expense,Entertainment
383,10-05-2021,130.46,Expense,Movies
384,10-05-2021,774.48,Expense,Car Maintenance
385,10-05-2021,517.63,Expense,Utilities
386,10-05-2021,658.33,Expense,Transport
387,10-05-2021,744.9,Income,Utilities
388,11-05-2021,694.97,Expense,Entertainment
389,11-05-2021,223.76,Expense,Subscriptions
390,11-05-2021,948.21,Expense,Bonus
391,11-05-2021,913.23,Income,Internet Bill
392,11-05-2021,224.04,Expense,Entertainment
393,12-05-2021,554.53,Expense,Movies
394,12-05-2021,657.27,Expense,Interest
395,12-05-2021,777.24,Income,Internet Bill
396,12-05-2021,391.31,Income,Transport
397,12-05-2021,633.56,Expense,Rent
398,13-05-2021,668.28,Income,Rent
399,13-05-2021,275.99,Expense,Groceries
400,14-05-2021,613.35,Income,Internet Bill
401,15-05-2021,85.68,Income,Dining Out
402,15-05-2021,783.99,Expense,Utilities
403,15-05-2021,604.26,Income,Dining Out
404,16-05-2021,297.17,Expense,Transport
405,17-05-2021,897.93,Expense,Movies
406,17-05-2021,760.81,Expense,Interest
407,17-05-2021,261.07,Income,Interest
408,18-05-2021,161.11,Expense,Salary
409,18-05-2021,266.37,Income,Bonus
410,18-05-2021,608.52,Expense,Salary
411,18-05-2021,802.15,Income,Car Maintenance
412,19-05-2021,897.99,Income,Transport
413,19-05-2021,467.3,Income,Shopping
414,20-05-2021,708.02,Expense,Transport
415,21-05-2021,840.18,Expense,Bonus
416,21-05-2021,208.1,Income,Car Maintenance
417,21-05-2021,724.82,Income,Bonus
418,21-05-2021,621.97,Income,Utilities
419,21-05-2021,554.53,Income,Transport
420,22-05-2021,787.84,Expense,Movies
421,22-05-2021,358.43,Income,Subscriptions
422,22-05-2021,711.25,Income,Salary
423,22-05-2021,638.31,Income,Salary
424,23-05-2021,231.99,Expense,Entertainment
425,23-05-2021,750.67,Income,Bonus
426,23-05-2021,717.2,Expense,Coffee
427,23-05-2021,188.85,Expense,Transport
428,24-05-2021,587.42,Income,Freelance
429,24-05-2021,436.71,Expense,Interest
430,24-05-2021,67.48,Expense,Car Maintenance
431,24-05-2021,378.44,Income,Utilities
432,24-05-2021,925.13,Expense,Interest
433,25-05-2021,330.85,Expense,Rent
434,25-05-2021,447.53,Expense,Car Maintenance
435,26-05-2021,246.01,Expense,Subscriptions
436,26-05-2021,921.33,Expense,Groceries
437,26-05-2021,859.13,Expense,Bonus
438,26-05-2021,997.47,Income,Shopping
439,26-05-2021,838.16,Expense,Salary
440,27-05-2021,267.14,Expense,Dining Out
441,27-05-2021,163.39,Income,Shopping
442,27-05-2021,389.32,Expense,Movies
443,27-05-2021,223.51,Income,Subscriptions
444,27-05-2021,407.33,Income,Interest
445,28-05-2021,364.98,Expense,Groceries
446,28-05-2021,119.22,Expense,Groceries
447,28-05-2021,395.8,Expense,Bonus
448,28-05-2021,830.65,Expense,Interest
449,29-05-2021,961.5,Income,Interest
450,29-05-2021,833.39,Income,Movies
451,29-05-2021,10.11,Income,Shopping
452,29-05-2021,794.07,Income,Dining Out
453,29-05-2021,819.09,Income,Shopping
454,30-05-2021,665.03,Expense,Utilities
455,30-05-2021,43.26,Income,Groceries
456,31-05-2021,266.96,Income,Interest
457,31-05-2021,461.03,Income,Interest
458,31-05-2021,468.18,Expense,Utilities
459,31-05-2021,660.23,Income,Transport
460,31-05-2021,333.13,Income,Transport
461,01-06-2021,759.76,Expense,Movies
462,01-06-2021,298.71,Income,Interest
463,01-06-2021,541.83,Income,Entertainment
464,01-06-2021,633.49,Income,Coffee
465,02-06-2021,789.77,Expense,Car Maintenance
466,03-06-2021,794.93,Expense,Rent
467,03-06-2021,119.88,Expense,Movies
468,03-06-2021,742.95,Income,Groceries
469,03-06-2021,231.24,Expense,Entertainment
470,04-06-2021,29.39,Income,Internet Bill
471,04-06-2021,68.32,Expense,Utilities
472,04-06-2021,950.5,Income,Movies
473,04-06-2021,96.79,Income,Dining Out
474,05-06-2021,455.14,Income,Car Maintenance
475,06-06-2021,671.78,Income,Rent
476,06-06-2021,919.66,Expense,Entertainment
477,06-06-2021,98.72,Expense,Rent
478,06-06-2021,509.29,Income,Internet Bill
479,06-06-2021,463.04,Income,Internet Bill
480,07-06-2021,552.72,Income,Interest
481,07-06-2021,179.56,Expense,Subscriptions
482,08-06-2021,669.3,Income,Utilities
483,08-06-2021,882.06,Expense,Shopping
484,08-06-2021,554.44,Income,Entertainment
485,09-06-2021,932.81,Expense,Salary
486,09-06-2021,640.98,Income,Internet Bill
487,10-06-2021,375.52,Income,Movies
488,10-06-2021,114.23,Income,Groceries
489,11-06-2021,24.39,Expense,Subscriptions
490,11-06-2021,409.64,Income,Salary
491,12-06-2021,789.79,Income,Internet Bill
492,12-06-2021,124.35,Income,Coffee
493,12-06-2021,695.48,Income,Coffee
494,12-06-2021,538.35,Expense,Entertainment
495,13-06-2021,764.65,Expense,Interest
496,13-06-2021,655.48,Expense,Car Maintenance
497,13-06-2021,271.62,Income,Subscriptions
498,13-06-2021,225.04,Income,Shopping
499,14-06-2021,616.25,Income,Internet Bill
500,14-06-2021,517.54,Income,Shopping
501,15-06-2021,785.6,Income,Car Maintenance
502,16-06-2021,673.58,Expense,Groceries
503,16-06-2021,888.16,Expense,Car Maintenance
504,16-06-2021,93.62,Expense,Subscriptions
505,17-06-2021,931.44,Income,Entertainment
506,18-06-2021,647.01,Income,Transport
507,18-06-2021,811.58,Income,Utilities
508,18-06-2021,63.08,Income,Dining Out
509,18-06-2021,116.56,Expense,Entertainment
510,18-06-2021,349.56,Income,Rent
511,19-06-2021,887.91,Income,Internet Bill
512,20-06-2021,942.15,Income,Transport
513,21-06-2021,809.44,Expense,Entertainment
514,21-06-2021,990.61,Expense,Car Maintenance
515,21-06-2021,143.61,Income,Rent
516,22-06-2021,439.83,Income,Groceries
517,22-06-2021,26.11,Expense,Subscriptions
518,22-06-2021,597.11,Expense,Freelance
519,23-06-2021,987.07,Income,Movies
520,23-06-2021,952.9,Expense,Subscriptions
521,23-06-2021,58.12,Expense,Bonus
522,24-06-2021,469.55,Expense,Movies
523,24-06-2021,831.52,Income,Groceries
524,25-06-2021,672.1,Income,Rent
525,25-06-2021,840.36,Expense,Coffee
526,26-06-2021,15.86,Expense,Transport
527,26-06-2021,981.85,Income,Subscriptions
528,26-06-2021,145.67,Income,Shopping
529,26-06-2021,504.57,Income,Groceries
530,27-06-2021,520.45,Expense,Internet Bill
531,28-06-2021,475.4,Expense,Bonus
532,28-06-2021,760.62,Income,Utilities
533,28-06-2021,680.95,Income,Groceries
534,28-06-2021,796.56,Expense,Car Maintenance
535,29-06-2021,504.75,Expense,Interest
536,29-06-2021,470.89,Income,Entertainment
537,30-06-2021,319.47,Income,Interest
538,30-06-2021,155.74,Income,Transport
539,30-06-2021,956.0,Expense,Transport
540,30-06-2021,817.11,Income,Internet Bill
541,01-07-2021,131.87,Income,Salary
542,02-07-2021,808.22,Expense,Salary
543,02-07-2021,48.76,Income,Coffee
544,02-07-2021,695.79,Expense,Interest
545,03-07-2021,665.64,Income,Bonus
546,03-07-2021,82.1,Income,Freelance
547,03-07-2021,669.14,Income,Freelance
548,04-07-2021,503.86,Expense,Utilities
549,05-07-2021,328.76,Income,Transport
550,05-07-2021,187.62,Income,Transport
551,05-07-2021,760.99,Expense,Bonus
552,06-07-2021,433.76,Expense,Bonus
553,06-07-2021,367.91,Income,Entertainment
554,07-07-2021,564.63,Expense,Subscriptions
555,07-07-2021,409.79,Expense,Entertainment
556,08-07-2021,169.18,Expense,Transport
557,08-07-2021,856.83,Expense,Interest
558,08-07-2021,584.26,Expense,Movies
559,09-07-2021,411.64,Income,Subscriptions
560,09-07-2021,99.08,Expense,Entertainment
561,09-07-2021,229.2,Income,Car Maintenance
562,09-07-2021,376.06,Expense,Bonus
563,10-07-2021,951.36,Income,Salary
564,10-07-2021,18.8,Income,Rent
565,10-07-2021,395.32,Income,Groceries
566,11-07-2021,684.54,Expense,Dining Out
567,11-07-2021,294.48,Expense,Freelance
568,11-07-2021,250.67,Income,Interest
569,12-07-2021,973.03,Expense,Salary
570,12-07-2021,187.05,Income,Dining Out
571,13-07-2021,434.41,Expense,Dining Out
572,13-07-2021,592.1,Expense,Salary
573,13-07-2021,139.54,Expense,Internet Bill
574,14-07-2021,846.19,Expense,Shopping
575,14-07-2021,615.66,Expense,Groceries
576,14-07-2021,318.09,Income,Coffee
577,14-07-2021,225.68,Expense,Car Maintenance
578,15-07-2021,317.05,Income,Subscriptions
579,15-07-2021,108.64,Income,Dining Out
580,15-07-2021,211.45,Income,Utilities
581,16-07-2021,328.4,Income,Groceries
582,16-07-2021,504.0,Income,Car Maintenance
583,17-07-2021,220.2,Income,Rent
584,17-07-2021,139.2,Income,Interest
585,18-07-2021,883.4,Expense,Movies
586,19-07-2021,598.44,Expense,Car Maintenance
587,20-07-2021,738.48,Expense,Subscriptions
588,20-07-2021,717.53,Expense,Transport
589,20-07-2021,848.41,Income,Freelance
590,20-07-2021,53.86,Expense,Coffee
591,20-07-2021,330.89,Income,Shopping
592,21-07-2021,846.87,Income,Groceries
593,21-07-2021,890.81,Income,Car Maintenance
594,21-07-2021,329.16,Expense,Bonus
595,21-07-2021,478.26,Income,Car Maintenance
596,22-07-2021,95.74,Income,Groceries
597,22-07-2021,637.72,Expense,Entertainment
598,22-07-2021,256.11,Income,Car Maintenance
599,22-07-2021,585.48,Income,Rent
600,23-07-2021,878.17,Expense,Freelance
601,23-07-2021,206.86,Income,Dining Out
602,23-07-2021,398.0,Expense,Coffee
603,23-07-2021,595.36,Income,Car Maintenance
604,24-07-2021,464.11,Expense,Car Maintenance
605,24-07-2021,909.06,Expense,Movies
606,24-07-2021,365.69,Income,Dining Out
607,24-07-2021,328.33,Expense,Movies
608,25-07-2021,214.86,Expense,Dining Out
609,25-07-2021,768.65,Expense,Car Maintenance
610,25-07-2021,68.22,Expense,Coffee
611,26-07-2021,547.71,Expense,Movies
612,26-07-2021,700.95,Expense,Transport
613,26-07-2021,458.38,Expense,Shopping
614,26-07-2021,360.02,Income,Internet Bill
615,27-07-2021,918.48,Income,Coffee
616,27-07-2021,766.95,Expense,Entertainment
617,28-07-2021,185.73,Expense,Dining Out
618,28-07-2021,643.96,Income,Freelance
619,29-07-2021,282.73,Income,Shopping
620,29-07-2021,840.09,Income,Rent
621,29-07-2021,104.5,Income,Car Maintenance
622,29-07-2021,703.6,Income,Rent
623,30-07-2021,278.98,Income,Transport
624,30-07-2021,14.69,Expense,Salary
625,30-07-2021,116.18,Expense,Interest
626,30-07-2021,622.96,Expense,Groceries
627,31-07-2021,774.72,Expense,Subscriptions
628,31-07-2021,715.49,Expense,Freelance
629,31-07-2021,198.05,Expense,Salary
630,01-08-2021,938.89,Income,Rent
631,01-08-2021,149.14,Expense,Subscriptions
632,01-08-2021,750.31,Expense,Coffee
633,01-08-2021,163.58,Income,Rent
634,02-08-2021,994.36,Income,Groceries
635,02-08-2021,93.2,Income,Groceries
636,02-08-2021,39.29,Income,Movies
637,02-08-2021,746.81,Expense,Bonus
638,02-08-2021,642.58,Expense,Subscriptions
639,03-08-2021,848.72,Expense,Car Maintenance
640,03-08-2021,983.06,Expense,Rent
641,03-08-2021,227.43,Income,Car Maintenance
642,03-08-2021,556.24,Income,Dining Out
